model,reasoning_type,complexity,mean_accuracy,std_accuracy,cv,n_runs
gemini_3_pro_preview,weighted,1,1.0,0.0,0.0,3
gemini_3_pro_preview,weighted,2,0.8,0.14142135623730953,0.1767766952966369,2
gemini_3_pro_preview,weighted,3,0.9,0.09999999999999998,0.11111111111111108,3
gemini_3_pro_preview,weighted,4,0.8000000000000002,0.10000000000000003,0.12500000000000003,3
gpt_4o,conflicting,1,0.8333333333333334,0.11547005383792519,0.1385640646055102,3
gpt_4o,conflicting,2,0.8333333333333334,0.05773502691896257,0.06928203230275508,3
gpt_4o,conflicting,3,0.7333333333333333,0.1527525231651947,0.2082988952252655,3
gpt_4o,conflicting,4,0.5666666666666667,0.32145502536643183,0.5672735741760562,3
gpt_4o,hierarchical,1,1.0,0.0,0.0,3
gpt_4o,hierarchical,2,0.9666666666666667,0.05773502691896257,0.05972588991616817,3
gpt_4o,hierarchical,3,0.8666666666666667,0.1527525231651947,0.17625291134445542,3
gpt_4o,hierarchical,4,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
gpt_4o,multihop,1,1.0,0.0,0.0,3
gpt_4o,multihop,2,0.7333333333333334,0.2516611478423583,0.3431742925123068,3
gpt_4o,multihop,3,0.4666666666666666,0.3214550253664318,0.6888321972137824,3
gpt_4o,multihop,4,0.4000000000000001,0.1,0.24999999999999997,3
gpt_4o,temporal,1,0.7037037037037037,0.27962349760262034,0.39735970711951313,3
gpt_4o,temporal,2,0.6666666666666666,0.2081665999466133,0.31224989991991997,3
gpt_4o,temporal,3,0.8333333333333334,0.2081665999466133,0.24979991993593595,3
gpt_4o,temporal,4,0.7666666666666666,0.2516611478423583,0.3282536710987283,3
gpt_4o,weighted,1,1.0,0.0,0.0,3
gpt_4o,weighted,2,0.5333333333333333,0.05773502691896256,0.1082531754730548,3
gpt_4o,weighted,3,0.5,0.17320508075688773,0.34641016151377546,3
gpt_4o,weighted,4,0.5666666666666667,0.11547005383792512,0.20377068324339728,3
gpt_5_2,conflicting,1,0.7999999999999999,0.2,0.25000000000000006,3
gpt_5_2,conflicting,2,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
gpt_5_2,conflicting,3,0.8000000000000002,0.10000000000000003,0.12500000000000003,3
gpt_5_2,conflicting,4,0.6999999999999998,1.3597399555105182e-16,1.9424856507293121e-16,3
gpt_5_2,hierarchical,1,0.9444444444444445,0.0962250448649376,0.10188534162169863,3
gpt_5_2,hierarchical,2,0.9,0.09999999999999998,0.11111111111111108,3
gpt_5_2,hierarchical,3,0.9,0.0,0.0,3
gpt_5_2,hierarchical,4,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
gpt_5_2,multihop,1,1.0,0.0,0.0,3
gpt_5_2,multihop,2,0.7666666666666666,0.05773502691896263,0.07530655685082083,3
gpt_5_2,multihop,3,0.7000000000000001,0.17320508075688776,0.24743582965269678,3
gpt_5_2,multihop,4,0.5666666666666667,0.05773502691896257,0.10188534162169866,3
gpt_5_2,temporal,1,0.7444444444444445,0.3595264374969653,0.482945960816819,3
gpt_5_2,temporal,2,0.8333333333333334,0.2081665999466133,0.24979991993593595,3
gpt_5_2,temporal,3,0.9333333333333332,0.11547005383792512,0.12371791482634836,3
gpt_5_2,temporal,4,0.9,0.17320508075688776,0.1924500897298753,3
gpt_5_2,weighted,1,0.9333333333333332,0.11547005383792512,0.12371791482634836,3
gpt_5_2,weighted,2,0.5333333333333333,0.15275252316519464,0.28641098093473993,3
gpt_5_2,weighted,3,0.5666666666666667,0.11547005383792512,0.20377068324339728,3
gpt_5_2,weighted,4,0.7333333333333334,0.11547005383792519,0.15745916432444343,3
gpt_5_mini,conflicting,1,0.9,0.09999999999999998,0.11111111111111108,3
gpt_5_mini,conflicting,2,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
gpt_5_mini,conflicting,3,0.7666666666666666,0.11547005383792519,0.15061311370164157,3
gpt_5_mini,conflicting,4,0.6333333333333334,0.20816659994661327,0.32868410517886304,3
gpt_5_mini,hierarchical,1,1.0,0.0,0.0,3
gpt_5_mini,hierarchical,2,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
gpt_5_mini,hierarchical,3,1.0,0.0,0.0,3
gpt_5_mini,hierarchical,4,1.0,0.0,0.0,3
gpt_5_mini,multihop,1,0.7555555555555555,0.2143033502442879,0.2836367870880281,3
gpt_5_mini,multihop,2,0.7666666666666666,0.05773502691896263,0.07530655685082083,3
gpt_5_mini,multihop,3,0.5666666666666667,0.05773502691896257,0.10188534162169866,3
gpt_5_mini,multihop,4,0.5666666666666667,0.11547005383792514,0.2037706832433973,3
gpt_5_mini,temporal,1,0.8148148148148149,0.3207501495497921,0.39364791081110845,3
